id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,15458,RIBU RUPIAH,2022
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,8833,RIBU RUPIAH,2022
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,18455,RIBU RUPIAH,2022
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7913,RIBU RUPIAH,2022
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,16067,RIBU RUPIAH,2022
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9568,RIBU RUPIAH,2022
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,17460,RIBU RUPIAH,2022
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,8716,RIBU RUPIAH,2022
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,13723,RIBU RUPIAH,2022
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,4173,RIBU RUPIAH,2022
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,13268,RIBU RUPIAH,2022
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,7379,RIBU RUPIAH,2022
253,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,17885,RIBU RUPIAH,2022
254,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,9906,RIBU RUPIAH,2022
255,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,15618,RIBU RUPIAH,2022
256,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,10384,RIBU RUPIAH,2022
257,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,23491,RIBU RUPIAH,2022
258,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,16702,RIBU RUPIAH,2022
259,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,15869,RIBU RUPIAH,2022
260,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,11634,RIBU RUPIAH,2022
261,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,22326,RIBU RUPIAH,2022
262,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,14872,RIBU RUPIAH,2022
263,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,22791,RIBU RUPIAH,2022
264,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,14497,RIBU RUPIAH,2022
265,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,17158,RIBU RUPIAH,2022
266,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,10716,RIBU RUPIAH,2022
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,13921,RIBU RUPIAH,2022
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,8124,RIBU RUPIAH,2022
269,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,16297,RIBU RUPIAH,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,7586,RIBU RUPIAH,2022
