id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,16288,RIBU RUPIAH,2018
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,10333,RIBU RUPIAH,2018
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,12973,RIBU RUPIAH,2018
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,7609,RIBU RUPIAH,2018
53,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,15646,RIBU RUPIAH,2018
54,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,7182,RIBU RUPIAH,2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,14793,RIBU RUPIAH,2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8547,RIBU RUPIAH,2019
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,13254,RIBU RUPIAH,2019
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,6744,RIBU RUPIAH,2019
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,11898,RIBU RUPIAH,2019
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,5061,RIBU RUPIAH,2019
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,14216,RIBU RUPIAH,2019
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,9224,RIBU RUPIAH,2019
63,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,11269,RIBU RUPIAH,2019
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4459,RIBU RUPIAH,2019
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,12024,RIBU RUPIAH,2019
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5462,RIBU RUPIAH,2019
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,14535,RIBU RUPIAH,2019
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,6538,RIBU RUPIAH,2019
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,14343,RIBU RUPIAH,2019
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,6851,RIBU RUPIAH,2019
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,16109,RIBU RUPIAH,2019
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,5376,RIBU RUPIAH,2019
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,14349,RIBU RUPIAH,2019
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,6467,RIBU RUPIAH,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,13828,RIBU RUPIAH,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,9916,RIBU RUPIAH,2019
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,14948,RIBU RUPIAH,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,7439,RIBU RUPIAH,2019
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,15157,RIBU RUPIAH,2019
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,8681,RIBU RUPIAH,2019
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,18016,RIBU RUPIAH,2019
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7601,RIBU RUPIAH,2019
